Date,Name,PreOrg,cowgirl,doggy,kinky,missionary,reversecowgirl,standing,HerRanking,MyRanking,OurRanking
2009-11-24 12:00:00,J1,1,False,True,False,True,False,False,8,4,6
2009-11-27 00:00:00,J1,1,False,False,False,False,True,False,2,10,6
2009-11-28 00:00:00,J1,0,False,False,False,True,False,False,3,3,3
2009-11-29 00:00:00,J1,1,False,False,False,False,False,False,7,6,6.5
2009-11-29 12:00:00,J1,2,False,False,False,False,True,False,10,10,10
2009-11-30 00:00:00,J1,0,False,False,False,True,False,False,2,2,2
2009-12-02 00:00:00,J1,2,False,True,False,False,False,False,10,7,8.5
2009-12-02 12:00:00,J1,0,False,False,False,False,False,False,1,0,0.5
2009-12-03 00:00:00,J1,2,False,True,False,True,False,False,10,6,8
2009-12-03 12:00:00,J1,1,False,False,False,True,False,False,8,7,7.5
2009-12-04 00:00:00,J1,1,False,True,False,True,False,False,10,0,5
2009-12-04 12:00:00,J1,1,False,True,False,True,False,False,10,4,7
2009-12-05 00:00:00,J1,2,False,False,False,True,False,True,10,9,9.5
2009-12-07 00:00:00,J1,1,False,False,False,True,False,False,9,7,8
2009-12-07 06:00:00,J1,2,False,False,False,True,False,False,10,10,10
2009-12-07 12:00:00,J1,1,False,True,False,True,False,False,10,4,7
2009-12-07 18:00:00,J1,1,False,False,False,True,False,False,8,7,7.5
2009-12-09 00:00:00,J1,0,False,True,False,True,False,False,4,0,2
2009-12-09 12:00:00,J1,0,False,False,False,False,False,False,0,1,0.5
2009-12-10 00:00:00,J1,1,False,False,False,True,False,False,9,8,8.5
2009-12-10 12:00:00,J1,0,True,True,False,True,False,False,0,1,0.5
2009-12-11 00:00:00,J1,1,False,True,False,False,False,False,9,0,4.5
2009-12-12 00:00:00,J1,0,False,False,False,True,False,False,2,3,2.5
2009-12-12 12:00:00,J1,2,False,True,False,True,True,True,10,10,10
2009-12-13 00:00:00,J1,0,False,True,False,True,False,False,3,0,1.5
2009-12-14 00:00:00,J1,1,False,False,False,True,False,False,8,8,8
2009-12-14 12:00:00,J1,0,False,False,False,True,True,False,0,10,5
2009-12-16 00:00:00,J1,0,False,False,False,True,False,False,3,3,3
2009-12-16 08:00:00,J1,2,False,False,False,True,False,True,10,9,9.5
2009-12-16 16:00:00,J1,1,False,False,False,True,False,False,10,7,8.5
2009-12-18 00:00:00,J1,1,False,False,False,True,False,True,10,4,7
2009-12-18 12:00:00,J1,1,False,False,False,False,False,False,8,5,6.5
2009-12-20 00:00:00,J1,1,False,True,False,False,False,False,7,0,3.5
2009-12-20 12:00:00,J1,0,False,False,False,True,False,False,3,2,2.5
2009-12-21 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
